biomarker,low,high,unit,source
CALB2,0.7,1.3,NPQ,synthetic_placeholder
CNTN2,0.7,1.3,NPQ,synthetic_placeholder
ENO2,0.7,1.3,NPQ,synthetic_placeholder
FGF2 (FGF basic),0.7,1.3,NPQ,synthetic_placeholder
GDI1,0.7,1.3,NPQ,synthetic_placeholder
GDNF,0.7,1.3,NPQ,synthetic_placeholder
GOT1,0.7,1.3,NPQ,synthetic_placeholder
MSLN,0.7,1.3,NPQ,synthetic_placeholder
NEFH,0.7,1.3,NPQ,synthetic_placeholder
NFL,0.0,30.0,pg/mL,synthetic_placeholder
NPTX1,0.7,1.3,NPQ,synthetic_placeholder
NPTX2,0.7,1.3,NPQ,synthetic_placeholder
NPTXR,0.7,1.3,NPQ,synthetic_placeholder
NPY,0.7,1.3,NPQ,synthetic_placeholder
NRGN,0.7,1.3,NPQ,synthetic_placeholder
PDLIM5,0.7,1.3,NPQ,synthetic_placeholder
REST,0.7,1.3,NPQ,synthetic_placeholder
SMOC1,0.7,1.3,NPQ,synthetic_placeholder
SNAP25,0.7,1.3,NPQ,synthetic_placeholder
SQSTM1,0.7,1.3,NPQ,synthetic_placeholder
UBB,0.7,1.3,NPQ,synthetic_placeholder
YWHAG,0.7,1.3,NPQ,synthetic_placeholder
YWHAZ,0.7,1.3,NPQ,synthetic_placeholder
CCL2 (MCP1),0.7,1.3,NPQ,synthetic_placeholder
CCL3 (MIP1a/CCL3),0.7,1.3,NPQ,synthetic_placeholder
CCL4 (Mip1b/CCL4),0.7,1.3,NPQ,synthetic_placeholder
CCL11 (Eotaxin),0.7,1.3,NPQ,synthetic_placeholder
CCL13 (MCP4),0.7,1.3,NPQ,synthetic_placeholder
CCL17 (TARC/CCL17),0.7,1.3,NPQ,synthetic_placeholder
CCL22 (MDC),0.7,1.3,NPQ,synthetic_placeholder
CCL26 (Eotaxin-3),0.7,1.3,NPQ,synthetic_placeholder
CD40LG (CD40L/TNFSF5),0.7,1.3,NPQ,synthetic_placeholder
CHI3L1 (YKL-40),0.7,1.3,NPQ,synthetic_placeholder
CHIT1,0.7,1.3,NPQ,synthetic_placeholder
CRH,0.7,1.3,NPQ,synthetic_placeholder
CRP,0.0,3.0,mg/L,synthetic_placeholder
CSF2 (GM-CSF),0.7,1.3,NPQ,synthetic_placeholder
CX3CL1 (Fractalkine),0.7,1.3,NPQ,synthetic_placeholder
CXCL1 (GROa),0.7,1.3,NPQ,synthetic_placeholder
CXCL8 (IL8),0.7,1.3,NPQ,synthetic_placeholder
CXCL10 (IP-10),0.7,1.3,NPQ,synthetic_placeholder
FCN2,0.7,1.3,NPQ,synthetic_placeholder
GDF15,0.7,1.3,NPQ,synthetic_placeholder
GFAP,0.0,120.0,pg/mL,synthetic_placeholder
ICAM1,0.7,1.3,NPQ,synthetic_placeholder
IFNG (IFN-gamma),0.7,1.3,NPQ,synthetic_placeholder
IGF1R,0.7,1.3,NPQ,synthetic_placeholder
IL1B (IL-1 beta),0.7,1.3,NPQ,synthetic_placeholder
IL2,0.7,1.3,NPQ,synthetic_placeholder
IL4,0.7,1.3,NPQ,synthetic_placeholder
IL5,0.7,1.3,NPQ,synthetic_placeholder
IL6,0.7,1.3,NPQ,synthetic_placeholder
IL7,0.7,1.3,NPQ,synthetic_placeholder
IL9,0.7,1.3,NPQ,synthetic_placeholder
IL10,0.7,1.3,NPQ,synthetic_placeholder
IL12p70 (IL12A/IL12B),0.7,1.3,NPQ,synthetic_placeholder
IL13,0.7,1.3,NPQ,synthetic_placeholder
IL15,0.7,1.3,NPQ,synthetic_placeholder
IL16,0.7,1.3,NPQ,synthetic_placeholder
IL17A,0.7,1.3,NPQ,synthetic_placeholder
IL18,0.7,1.3,NPQ,synthetic_placeholder
IL33,0.7,1.3,NPQ,synthetic_placeholder
PRDX6,0.7,1.3,NPQ,synthetic_placeholder
RUVBL2,0.7,1.3,NPQ,synthetic_placeholder
S100A12,0.7,1.3,NPQ,synthetic_placeholder
S100B,0.7,1.3,NPQ,synthetic_placeholder
SFTPD,0.7,1.3,NPQ,synthetic_placeholder
SLIT2,0.7,1.3,NPQ,synthetic_placeholder
TAFA5,0.7,1.3,NPQ,synthetic_placeholder
TEK (Tie-2/TEK),0.7,1.3,NPQ,synthetic_placeholder
TIMP3,0.7,1.3,NPQ,synthetic_placeholder
TNF (TNF-a),0.7,1.3,NPQ,synthetic_placeholder
TREM1 (sTREM1),0.7,1.3,NPQ,synthetic_placeholder
TREM2,0.7,1.3,NPQ,synthetic_placeholder
VCAM1 (CD106),0.7,1.3,NPQ,synthetic_placeholder
